CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBHEL26-DEC-2024,244.8000000,243.3100000,249.7900000,242.7000000,248.6000000,248.6000000,1.5500000,25468.0000000,37390500.0000000,14244.0000000,9241654327.5000000
FUTSTKBSOFT26-DEC-2024,596.0500000,597.4500000,607.1000000,596.0500000,604.4500000,604.4500000,1.4000000,9472.0000000,6582000.0000000,6582.0000000,3967808700.0000000
FUTSTKOBEROIRLTY26-DEC-2024,1980.6000000,1985.2000000,1989.0000000,1931.1500000,1957.1000000,1957.1000000,-1.1800000,18276.0000000,3508050.0000000,10023.0000000,6855181777.5000000
FUTSTKASIANPAINT26-DEC-2024,2515.2500000,2515.3000000,2525.2500000,2489.6000000,2499.0000000,2499.0000000,-0.6400000,59158.0000000,3501600.0000000,17508.0000000,8750396630.0000000
FUTSTKMFSL28-NOV-2024,1175.6500000,1173.3500000,1202.0500000,1173.3500000,1188.6500000,1188.6500000,1.1000000,1128.0000000,1608000.0000000,2010.0000000,1917233480.0000000
FUTSTKJUBLFOOD28-NOV-2024,646.8500000,648.3500000,654.1000000,644.3500000,651.5500000,651.5500000,0.7200000,2621.0000000,6980000.0000000,5584.0000000,4524912437.5000000
FUTSTKGLENMARK26-DEC-2024,1525.0500000,1515.0500000,1533.4000000,1512.7000000,1528.1000000,1528.1000000,0.1900000,2584.0000000,1275275.0000000,1759.0000000,1942977343.7500000
FUTSTKTCS26-DEC-2024,4368.3000000,4374.9000000,4399.9000000,4351.2000000,4359.0500000,4359.0500000,-0.2100000,61614.0000000,3886925.0000000,22211.0000000,16998227128.7500000
FUTSTKABFRL28-NOV-2024,307.3000000,308.3000000,312.4000000,306.3500000,309.4500000,309.4500000,0.6900000,2560.0000000,6713200.0000000,2582.0000000,2079799800.0000000
FUTSTKBEL26-DEC-2024,299.8500000,301.6000000,309.3500000,299.4000000,308.6000000,308.6000000,2.9100000,34948.0000000,64204800.0000000,22528.0000000,19706251612.5000000
FUTSTKPIIND26-DEC-2024,4127.3000000,4148.0000000,4163.7000000,4088.2500000,4127.0500000,4127.0500000,0.0000000,8416.0000000,548625.0000000,4389.0000000,2269655575.0000000
FUTSTKM&MFIN26-DEC-2024,267.6500000,269.9500000,270.0000000,266.2000000,268.9500000,268.9500000,0.4800000,14841.0000000,14046000.0000000,7023.0000000,3768201600.0000000
FUTSTKOFSS26-DEC-2024,11810.7500000,11939.8500000,11989.0000000,11770.6000000,11883.0000000,11883.0000000,0.6100000,11014.0000000,282600.0000000,5652.0000000,3355991727.5000000
FUTSTKTRENT26-DEC-2024,6709.6000000,6709.6500000,6915.6500000,6675.0000000,6872.5500000,6872.5500000,2.4200000,31785.0000000,1697700.0000000,16977.0000000,11576651580.0000000
FUTSTKLAURUSLABS28-NOV-2024,545.6500000,543.8500000,554.1000000,542.4500000,544.1000000,544.1000000,-0.2800000,2599.0000000,7884600.0000000,4638.0000000,4315159385.0000000
FUTSTKHINDUNILVR26-DEC-2024,2494.7500000,2492.8000000,2505.6000000,2473.7500000,2500.4500000,2500.4500000,0.2200000,41347.0000000,5240100.0000000,17467.0000000,13045241310.0000000
FUTSTKWIPRO26-DEC-2024,591.3500000,593.0500000,598.5000000,585.8500000,586.9000000,586.9000000,-0.7500000,23234.0000000,16084500.0000000,10723.0000000,9498334200.0000000
FUTSTKLAURUSLABS26-DEC-2024,548.4000000,546.0500000,557.3000000,545.1000000,547.1000000,547.1000000,-0.2300000,11880.0000000,10949700.0000000,6441.0000000,6026807105.0000000
FUTSTKNAUKRI26-DEC-2024,8281.4500000,8263.3000000,8411.0000000,8263.3000000,8399.3000000,8399.3000000,1.4200000,15783.0000000,453975.0000000,6053.0000000,3795955496.2500000
FUTSTKSHRIRAMFIN26-DEC-2024,3057.3000000,3057.3500000,3078.3500000,3024.0500000,3035.0500000,3035.0500000,-0.7200000,45887.0000000,2775000.0000000,18500.0000000,8443238895.0000000
FUTSTKLTIM26-DEC-2024,6257.7000000,6210.0500000,6327.7000000,6210.0000000,6281.9000000,6281.9000000,0.3800000,13903.0000000,1248300.0000000,8322.0000000,7844414497.5000000
FUTSTKBIOCON26-DEC-2024,354.9000000,356.2500000,361.1000000,350.7500000,360.1000000,360.1000000,1.4600000,10371.0000000,15200000.0000000,6080.0000000,5417012375.0000000
FUTSTKMARICO28-NOV-2024,627.9500000,625.8500000,651.1000000,622.0500000,648.8500000,648.8500000,3.3200000,3028.0000000,9483600.0000000,7903.0000000,6058187160.0000000
FUTSTKM&MFIN28-NOV-2024,270.5500000,271.0500000,273.0000000,269.0000000,272.6000000,272.6000000,0.7500000,2059.0000000,13500000.0000000,6750.0000000,3669466100.0000000
FUTSTKGODREJPROP28-NOV-2024,2898.0000000,2899.4500000,2899.4500000,2799.3500000,2832.1000000,2832.1000000,-2.2700000,2830.0000000,1485225.0000000,6601.0000000,4198473348.7500000
FUTSTKMPHASIS28-NOV-2024,3003.0000000,2999.8000000,3043.9000000,2996.7500000,3018.3500000,3018.3500000,0.5100000,2959.0000000,1522675.0000000,5537.0000000,4599187518.7500000
FUTSTKULTRACEMCO26-DEC-2024,11194.5000000,11100.0500000,11260.0500000,11026.5000000,11216.0500000,11216.0500000,0.1900000,43618.0000000,1251900.0000000,25038.0000000,13953373402.5000000
FUTIDXBANKNIFTY27-NOV-2024,52218.7000000,52217.9500000,52465.0000000,52029.7500000,52305.2000000,52301.8000000,0.1500000,41700.0000000,1706640.0000000,113776.0000000,89231786910.0000000
FUTSTKFEDERALBNK26-DEC-2024,214.7900000,213.7100000,215.6000000,212.2900000,213.5200000,213.5200000,-0.5900000,12925.0000000,42945000.0000000,8589.0000000,9187017900.0000000
FUTSTKBHARATFORG26-DEC-2024,1330.6500000,1333.6500000,1340.9000000,1320.9000000,1333.5000000,1333.5000000,0.2100000,18501.0000000,3581500.0000000,7163.0000000,4767979925.0000000
FUTSTKIDEA26-DEC-2024,7.5500000,7.6700000,8.5200000,7.5500000,8.3800000,8.3800000,10.9900000,78702.0000000,1349160000.0000000,33729.0000000,10776010400.0000000
FUTSTKMGL26-DEC-2024,1184.5000000,1192.8500000,1192.8500000,1161.0000000,1186.4000000,1186.4000000,0.1600000,6890.0000000,1577200.0000000,3943.0000000,1857096820.0000000
FUTSTKTITAN26-DEC-2024,3345.8000000,3340.1000000,3344.5000000,3295.1000000,3312.9500000,3312.9500000,-0.9800000,39147.0000000,2336425.0000000,13351.0000000,7751370742.5000000
FUTSTKMETROPOLIS26-DEC-2024,2170.3000000,2186.2000000,2187.5000000,2149.0000000,2179.4000000,2179.4000000,0.4100000,2336.0000000,610400.0000000,1526.0000000,1322437960.0000000
FUTSTKLTTS26-DEC-2024,5523.3500000,5451.0500000,5530.8000000,5445.2500000,5456.5500000,5456.5500000,-1.2000000,6321.0000000,430800.0000000,4308.0000000,2360245360.0000000
FUTSTKINDUSTOWER26-DEC-2024,342.4000000,343.2000000,354.6000000,342.3500000,352.0500000,352.0500000,2.8100000,41644.0000000,32721600.0000000,19248.0000000,11415192385.0000000
FUTSTKPIDILITIND28-NOV-2024,3012.7500000,3007.1000000,3067.2500000,2987.4000000,3041.6500000,3041.6500000,0.9500000,1988.0000000,807500.0000000,3230.0000000,2452289587.5000000
FUTSTKTECHM26-DEC-2024,1753.9000000,1755.6000000,1778.4500000,1745.6500000,1763.8000000,1763.8000000,0.5600000,16682.0000000,4507200.0000000,7512.0000000,7963739430.0000000
FUTSTKIPCALAB28-NOV-2024,1566.9000000,1567.2000000,1574.5000000,1521.0500000,1528.7000000,1528.7000000,-2.4300000,893.0000000,1385800.0000000,2132.0000000,2134645727.5000000
FUTSTKACC28-NOV-2024,2119.8000000,2101.0500000,2233.0000000,2097.2000000,2211.0000000,2211.0000000,4.3000000,7543.0000000,2310000.0000000,7700.0000000,5016441915.0000000
